Date,County,POE Name,Status,Crossing Types,Lane Types,Delay,Geometry
02/01/2022 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,32,POINT (-116.62749875679889 32.57652396492499)
05/01/2013 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
02/01/2016 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
01/01/2013 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,52,POINT (-116.62749875679889 32.57652396492499)
10/01/2018 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,,POINT (-115.49633142030937 32.665128403179615)
02/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,8,POINT (-115.49633142030937 32.665128403179615)
12/01/2012 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
10/01/2011 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,2,POINT (-114.72822550381008 32.718470005577316)
10/01/2017 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,11,POINT (-115.38766748631362 32.67336532617336)
01/01/2015 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,7,POINT (-117.0294681170711 32.54316318124256)
02/01/2016 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,,POINT (-115.38766748631362 32.67336532617336)
07/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,26,POINT (-117.0294681170711 32.54316318124256)
09/01/2018 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,,POINT (-116.62749875679889 32.57652396492499)
08/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,20,POINT (-117.0294681170711 32.54316318124256)
11/01/2014 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,27,POINT (-117.0294681170711 32.54316318124256)
05/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,34,POINT (-115.38766748631362 32.67336532617336)
07/01/2018 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,0,POINT (-114.72822550381008 32.718470005577316)
01/01/2013 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,5,POINT (-116.62749875679889 32.57652396492499)
12/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,,POINT (-117.0294681170711 32.54316318124256)
11/01/2019 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,27,POINT (-115.49633142030937 32.665128403179615)
07/01/2016 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,,POINT (-114.72822550381008 32.718470005577316)
04/01/2016 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,,POINT (-115.38766748631362 32.67336532617336)
