County,POE Name,Status,Geometry,Crossing Types,Lane Types,Delay,Year,Month,Date
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2018,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,8,2021,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2012,December,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,2,2011,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,11,2017,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2015,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2016,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,26,2018,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,,2018,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,20,2016,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,27,2014,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,34,2019,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,0,2018,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,5,2013,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,,2018,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,27,2019,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2016,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2016,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,4,2020,April,
