Lane Types_Ready,Lane Types_SENTRI,Lane Types_Standard,Crossing Types_Passenger,Crossing Types_Pedestrian,County_San Diego,Delay
0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,0.0,0.0,1.0,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,0.0,0.0,0.0,1.0,1.0,1
1.0,0.0,0.0,0.0,1.0,1.0,1
1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1
1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1
1.0,0.0,0.0,0.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1
0.0,0.0,1.0,1.0,0.0,1.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0.0,1.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1
1.0,0.0,0.0,1.0,0.0,0.0,1
